Seq,縣市,區別,監測週期,陽性率,總卵粒數
205,67000,67000360,114年第22週,37.18%,1664
206,67000,67000350,114年第22週,41.99%,8364
207,67000,67000320,114年第22週,20.00%,2551
208,67000,67000330,114年第22週,29.95%,4761
209,67000,67000010,114年第22週,18.06%,509
210,67000,67000280,114年第22週,26.19%,808
211,67000,67000370,114年第23週,17.08%,1107
212,67000,67000270,114年第23週,30.21%,1530
213,67000,67000340,114年第23週,12.63%,1077
214,67000,67000310,114年第23週,22.09%,2698
215,67000,67000360,114年第23週,25.64%,1008
216,67000,67000350,114年第23週,27.45%,4261
217,67000,67000320,114年第23週,10.19%,1054
218,67000,67000330,114年第23週,19.82%,2228
219,67000,67000010,114年第23週,16.67%,359
220,67000,67000280,114年第23週,23.81%,466
221,67000,67000370,114年第24週,29.58%,2061
222,67000,67000270,114年第24週,44.79%,2876
223,67000,67000340,114年第24週,20.96%,2021
224,67000,67000310,114年第24週,31.01%,4077
225,67000,67000360,114年第24週,35.26%,1393
226,67000,67000350,114年第24週,41.67%,7534
227,67000,67000320,114年第24週,19.26%,2226
228,67000,67000330,114年第24週,32.43%,4329
229,67000,67000010,114年第24週,18.06%,339
230,67000,67000280,114年第24週,29.76%,687
231,67000,67000370,114年第25週,35.42%,2821
232,67000,67000270,114年第25週,53.65%,3253
233,67000,67000340,114年第25週,27.27%,2612
234,67000,67000310,114年第25週,36.24%,5414
235,67000,67000360,114年第25週,35.26%,1982
236,67000,67000350,114年第25週,46.08%,9352
237,67000,67000320,114年第25週,19.26%,2297
238,67000,67000330,114年第25週,38.29%,6125
239,67000,67000010,114年第25週,20.83%,468
240,67000,67000280,114年第25週,27.38%,536
241,67000,67000370,114年第26週,35.00%,3186
242,67000,67000270,114年第26週,55.73%,3596
243,67000,67000340,114年第26週,24.49%,2875
244,67000,67000310,114年第26週,32.56%,5312
245,67000,67000360,114年第26週,37.18%,2011
246,67000,67000350,114年第26週,48.37%,10193
247,67000,67000320,114年第26週,27.04%,3720
248,67000,67000330,114年第26週,38.29%,5692
249,67000,67000010,114年第26週,23.61%,386
250,67000,67000280,114年第26週,25.00%,581
251,67000,67000370,114年第27週,44.58%,3638
252,67000,67000270,114年第27週,54.69%,3847
253,67000,67000340,114年第27週,26.01%,3082
254,67000,67000310,114年第27週,36.82%,6278
255,67000,67000360,114年第27週,46.15%,2728
256,67000,67000350,114年第27週,49.02%,11139
257,67000,67000320,114年第27週,26.11%,4271
258,67000,67000330,114年第27週,39.64%,6163
259,67000,67000010,114年第27週,25.00%,571
260,67000,67000280,114年第27週,26.19%,584
261,67000,67000370,114年第28週,24.58%,1818
262,67000,67000270,114年第28週,33.85%,1850
263,67000,67000340,114年第28週,18.94%,1275
264,67000,67000310,114年第28週,21.71%,2647
265,67000,67000360,114年第28週,25.00%,1283
266,67000,67000350,114年第28週,21.24%,3259
267,67000,67000320,114年第28週,14.07%,1540
268,67000,67000330,114年第28週,25.45%,2669
269,67000,67000010,114年第28週,23.61%,372
270,67000,67000280,114年第28週,20.24%,399
271,67000,67000370,114年第29週,21.25%,1084
272,67000,67000270,114年第29週,42.71%,1832
273,67000,67000340,114年第29週,13.64%,1134
